,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,ID,Kind,Postal code,Public name,Rental status,Slots,Station type,Status,Subscription status,year,month,day,hour,minute
37,5,0,0,0,operational,Paris,paris-fredericklemaitre-5,STATION,75020,Paris/FrÃ©dÃ©rick LemaÃ®tre/5,operational,0,station,ok,nonexistent,2018,4,3,3,48
38,3,0,0,0,nonexistent,Bezons,bezons-edouardvaillant-77,SPACE,95870,Bezons/Edouard Vaillant/77,operational,0,full_station,ok,broken,2018,4,1,23,36
39,5,0,0,0,nonexistent,Nogent-sur-Marne,nogentsurmarne-jeanmonnet-1,SPACE,94130,Nogent-sur-Marne/Jean Monnet/1,operational,0,full_station,ok,broken,2018,4,2,8,37
40,2,0,0,0,operational,Paris,paris-clichy-70,STATION,75018,Paris/Clichy/70,operational,1,station,ok,nonexistent,2018,4,3,16,24
41,2,0,0,0,operational,Paris,paris-mozart-68,STATION,75016,Paris/Mozart/68,operational,1,station,ok,nonexistent,2018,4,1,21,17
42,1,0,0,2,operational,Paris,paris-claudebernard-16,STATION,75005,Paris/Claude Bernard/16,operational,3,station,ok,nonexistent,2018,4,4,13,3
43,3,0,0,0,nonexistent,CrÃ©teil,creteil-gabrielfaure-18,STATION,94000,CrÃ©teil/Gabriel FaurÃ©/18,operational,3,station,ok,nonexistent,2018,4,2,23,38
44,4,0,0,0,nonexistent,Issy-les-Moulineaux,issylesmoulineaux-gallieni-27,STATION,92130,Issy-les-Moulineaux/Gallieni/27,operational,2,station,ok,nonexistent,2018,4,4,11,54
45,5,0,0,0,operational,Paris,paris-georgesmandel-42,STATION,75016,Paris/Georges Mandel/42,operational,1,station,ok,nonexistent,2018,4,6,18,25
46,0,0,0,0,broken,Paris,paris-grandearmee-81,STATION,75016,Paris/Grande ArmÃ©e/81,broken,0,station,closed,nonexistent,2018,4,6,21,2
47,6,0,0,0,nonexistent,Villejuif,villejuif-epidor-2,STATION,94800,Villejuif/Ãpi d'Or/2,operational,0,station,ok,nonexistent,2018,4,5,7,5
48,2,0,0,1,operational,Paris,paris-censier-14,STATION,75005,Paris/Censier/14,operational,4,station,ok,nonexistent,2018,4,5,2,35
49,3,0,1,1,operational,Paris,paris-reille-59,STATION,75014,Paris/Reille/59,operational,2,station,ok,nonexistent,2018,4,7,9,6
50,4,0,1,0,nonexistent,Rueil-Malmaison,rueilmalmaison-8mai1945-2,STATION,92500,Rueil-Malmaison/8 mai 1945/2,operational,0,station,ok,nonexistent,2018,4,6,3,52
51,3,0,0,1,operational,Paris,paris-tolbiac-41,STATION,75013,Paris/Tolbiac/41,operational,2,station,ok,nonexistent,2018,4,9,19,49
52,2,0,0,1,operational,Paris,paris-fabredeglantine-2,STATION,75012,Paris/Fabre d'Ãglantine/2,operational,2,station,ok,nonexistent,2018,4,9,0,44
53,6,0,0,0,operational,Villeneuve-la-Garenne,villeneuvelagarenne-pompidou-29,STATION,92390,Villeneuve-la-Garenne/Pompidou/29,operational,0,station,ok,nonexistent,2018,4,1,11,56
54,0,0,0,0,nonexistent,Paris,paris-republique-17,STATION,75003,Paris/RÃ©publique/17,operational,3,station,ok,nonexistent,2018,4,3,0,56
55,4,0,0,1,operational,Paris,paris-raymondlosserand-145,STATION,75014,Paris/Raymond Losserand/145,operational,2,station,ok,nonexistent,2018,4,4,10,9
56,6,0,0,0,nonexistent,Montreuil,montreuil-vincennes-11,STATION,93100,Montreuil/Vincennes/11,operational,0,station,ok,nonexistent,2018,4,7,21,11
57,0,0,0,0,nonexistent,Paris,paris-sevresbabylone-parking,PARKING,75007,Paris/SÃ¨vres Babylone/Parking,operational,6,station,ok,nonexistent,2018,4,6,0,9
58,5,0,0,0,operational,Paris,paris-raymondlosserand-229,STATION,75014,Paris/Raymond Losserand/229,operational,1,station,ok,nonexistent,2018,4,8,8,22
59,0,0,0,1,operational,Paris,paris-murat-1,STATION,75016,Paris/Murat/1,operational,5,station,ok,nonexistent,2018,4,4,3,32
60,3,0,0,0,operational,Paris,paris-pompe-137,STATION,75016,Paris/Pompe/137,operational,0,station,ok,nonexistent,2018,4,3,21,17
61,3,0,0,0,operational,Paris,paris-guypatin-10,STATION,75010,Paris/Guy Patin/10,operational,0,station,ok,nonexistent,2018,4,5,15,54
62,3,0,2,0,operational,Paris,paris-jacquesduchesne-1,STATION,75019,Paris/Jacques Duchesne/1,operational,0,station,ok,nonexistent,2018,4,8,10,55
63,3,0,0,0,nonexistent,Charenton-le-Pont,charentonlepont-paris-147,STATION,94220,Charenton-le-Pont/Paris/147,operational,0,station,ok,nonexistent,2018,4,2,14,38
64,4,0,0,0,nonexistent,Rueil-Malmaison,rueilmalmaison-henrisainteclairedeville-12,STATION,92500,Rueil-Malmaison/Henri Sainte-Claire DÃ©ville/12,operational,2,station,ok,nonexistent,2018,4,1,1,29
65,3,0,0,0,operational,Courbevoie,courbevoie-massenet-4,SPACE,92400,Courbevoie/Massenet/4,operational,2,full_station,ok,broken,2018,4,6,15,59
66,2,0,0,0,nonexistent,Paris,paris-saintecroixdelabretonnerie-37,STATION,75004,Paris/Sainte-Croix de la Bretonnerie/37,operational,0,station,ok,nonexistent,2018,4,3,11,11
67,5,0,1,0,operational,Paris,paris-raymondlosserand-229,STATION,75014,Paris/Raymond Losserand/229,operational,0,station,ok,nonexistent,2018,4,7,3,31
68,0,0,0,0,nonexistent,Paris,paris-etoilefoch-parking,PARKING,75016,Paris/Etoile Foch/Parking,broken,0,station,closed,nonexistent,2018,4,5,3,11
69,6,0,0,0,operational,Paris,paris-ranelagh-33,STATION,75016,Paris/Ranelagh/33,operational,0,station,ok,nonexistent,2018,4,2,20,40
70,3,0,0,1,operational,Paris,paris-philippeauguste-65,STATION,75011,Paris/Philippe Auguste/65,operational,1,station,ok,nonexistent,2018,4,2,18,59
71,5,0,0,0,nonexistent,AsniÃ¨res-sur-Seine,asnieressurseine-jeanjacquesrousseau-2,STATION,92600,AsniÃ¨res-sur-Seine/Jean-Jacques Rousseau/2,operational,0,station,ok,nonexistent,2018,4,8,3,10
72,3,1,0,1,operational,Paris,paris-segur-55,STATION,75007,Paris/SÃ©gur/55,operational,2,station,ok,nonexistent,2018,4,1,17,48
73,0,0,0,2,operational,Paris,paris-bosquet-81,STATION,75007,Paris/Bosquet/81,operational,3,station,ok,nonexistent,2018,4,8,8,2
74,6,0,0,0,nonexistent,Garches,garches-raymondpoincare-102,STATION,92380,Garches/Raymond PoincarÃ©/102,operational,0,station,ok,nonexistent,2018,4,1,6,13
75,1,0,0,0,operational,Paris,paris-victoria-17,STATION,75001,Paris/Victoria/17,operational,4,station,ok,nonexistent,2018,4,6,4,41
76,1,0,0,0,nonexistent,Drancy,drancy-marcelinberthelot-2,STATION,93700,Drancy/Marcelin Berthelot/2,operational,2,station,ok,nonexistent,2018,4,4,13,27
77,2,2,0,0,operational,Paris,paris-rochechouart-31,STATION,75009,Paris/Rochechouart/31,operational,1,station,ok,nonexistent,2018,4,4,2,59
78,0,0,0,2,operational,Paris,paris-juleslefebvre-1,STATION,75009,Paris/Jules LefÃ¨bvre/1,operational,6,station,ok,nonexistent,2018,4,6,11,42
79,0,0,0,0,operational,Paris,paris-diderot-24,SPACE,75012,Paris/Diderot/24,operational,4,full_station,ok,operational,2018,4,2,3,38
80,0,0,0,0,nonexistent,Paris,paris-lobau-parking,PARKING,75004,Paris/Lobau/Parking,broken,0,station,closed,broken,2018,4,8,14,3
81,2,0,0,1,operational,Paris,paris-charolais-2,STATION,75012,Paris/Charolais/2,operational,4,station,ok,nonexistent,2018,4,9,6,50
